Company Name, Email, Telephone, Website, Address
3 S Schnecken + Spindeln + Spiralen,office@3s-gmbh.at,(+43 7613) 50 04,http://www.3s-gmbh.at,Pühretstr. 3 4661 Roitham Österreich 
365FarmNet,info@365farmnet.com,(+49 30) 2 59 32 95 00 | (+49 30) 2 59 32 95 01,http://www.365farmnet.com,Hausvogteiplatz 10 10117 Berlin Deutschland 
3D Interaction Technologies,info@3dit.de,(+49 351) 21 96-74 95,http://www.3dit.de,Schubertstr. 39 01307 Dresden Deutschland 
A&E Applikation und Entwicklung,info@a-e-produktionstechnik.de,(+49 351) 8 71-83 30,http://www.a-e-produktionstechnik.de,Deubener Weg 5 01705 Freital Deutschland 
A+W Software,info@a-w.com,(+49 6404) 2051-0,http://www.a-w.de,Am Pfahlgraben 4-10 35415 Pohlheim Deutschland 
AAF-Lufttechnik,sales.germany@aafeurope.com,(+49 6252) 69977-0,http://www.aafeurope.com,Odenwaldstr. 4 64646 Heppenheim Deutschland 
AAGM Aalener,info@aagm.de,(+49 7362) 95 60 37-0,http://www.aagm.de,Gewerbehof 28 73441 Bopfingen Deutschland 
Aalberts Surface Treatment,luebeck@aalberts-st.com,(+49 451) 3 90 06-0,http://www.aalberts.com/st,Seelandstr. 7 23569 Lübeck Deutschland 
ABA Beul,info@ababeul.de,(+49 2722) 6 99-0,http://www.ababeul.de,Dieselstr. 11 57439 Attendorn Deutschland 
abas Software,info@abas-erp.com,(+49 721) 96 72 30,http://www.abas-erp.com,Gartenstr. 67 76135 Karlsruhe Deutschland 
abas,kontakt@abas.de,(+49 721) 9 67 24-03,http://www.abas-projektierung.de,Gartenstr. 67 76135 Karlsruhe Deutschland 
Abass,info@abass.de,(+49 6103) 4 04 56 60,http://www.abass.de,Weserstr. 14 63225 Langen Deutschland 
ABB,info@de.abb.com,(+49 621) 43 81-0,http://www.abb.de,Kallstadter Str. 1 68309 Mannheim Deutschland 
ABB Automation Products,motors.drives@de.abb.com,(+49 6203) 71-0,http://www.abb.de,Wallstadter Str. 59 68526 Ladenburg Deutschland 
ABB Automation,process.industries@de.abb.com,(+49 621) 3 81-0,http://www.abb.com,Kallstadter Str. 1 68309 Mannheim Deutschland 
ABB Automation,robotics@de.abb.com,(+49 6031) 85-0,http://www.abb.de/robotics,Grüner Weg 6 61169 Friedberg Deutschland 
ABB STOTZ-KONTAKT,info.desto@de.abb.com,(+49 6221) 7 01-0,http://www.abb.de/stotz-kontakt,Eppelheimer Str. 82 69123 Heidelberg Deutschland 
ABB Turbo Systems,turbocharging@ch.abb.com,(+41 58) 5 85 77 77,http://www.abb.com/turbocharging,Bruggerstr. 71a 5401 Baden Schweiz 
ABEL,mail@abel.de,(+49 4155) 8 18-0,http://www.abel.de,ABEL-Twiete 1 21514 Büchen Deutschland 
Aberle,info@aberle-automation.com,(+49 7131) 90 59-0,http://www.aberle-automation.com,Daimlerstr. 40 74211 Leingarten Deutschland 
ABI,info@abi-gmbh.de,(+49 6028) 1 23-0,http://www.abi-group.com,Am Knückel 4 63843 Niedernberg Deutschland 
abilis,info@abilis.de,(+49 7244) 70 80-0,http://www.abilis.de,Lorenzstr. 8 76297 Stutensee Deutschland 
ABN Apparatebau Nittenau,kontakt@abn-drucklufttechnik.de,(+49 9436) 4 33,http://www.abn-drucklufttechnik.de,Berghamer Str. 15 93149 Nittenau Deutschland 
ABP Induction Systems,info@abpinduction.com,(+49 231) 9 97-0,http://www.abpinduction.com,Kanalstr. 25 44147 Dortmund Deutschland 
ACAM Engineering,office@engineering.acam.at,(+43 2236) 6600-13,http://www.acam.at,IZ Nö Süd Str. 2 2355 Wiener Neudorf Österreich 
ACATEC Software,info@acatec.de,(+49 5108) 91 59-0,http://www.acatec.de,Am Spehrteich 12 30989 Gehrden Deutschland 
ACBIS,kontakt@acbis.de,(+49 7243) 7 67 47-0,http://www.acbis.de,Pforzheimer Str. 134 76275 Ettlingen Deutschland 
accelcon industrial engineering,schmidt@accelcon.de,(+49 6806) 9 53 08 90,http://www.accelcon.de,Saarstr. 20 66265 Heusweiler Deutschland 
accessec,info@accessec.com,(+49 6162) 8 00-420,http://www.accessec.com,Marktstr. 47 - 49 64401 Groß-Bieberau Deutschland 
ACE Stoßdämpfer,info@ace-int.eu,(+49 2173) 92 26-10,http://www.ace-ace.de,Albert-Einstein-Str. 15 40764 Langenfeld Deutschland 
ACHENBACH BUSCHHÜTTEN,info@achenbach.de,(+49 2732) 7 99-0,http://www.achenbach.de,Siegener Str. 152 57223 Kreuztal Deutschland 
acp systems,info@acp-systems.com,(+49 741) 17 52 99-0,http://www.acp-systems.com,Albring 18 78658 Zimmern ob Rottweil Deutschland 
Acrolinx,info@acrolinx.com,(+49 30) 2 88 84 83-30,http://www.acrolinx.com,Friedrichstr. 100 10117 Berlin Deutschland 
Across,info@across.net,(+49 7248) 9 25-4 25,http://www.across.net,Im Stoeckmaedle 13 76307 Karlsbad Deutschland 
ACSYS Lasertechnik,kornwestheim@acsys.de,(+49 7154) 8 08 75-0,http://www.acsys.de,Leibnizstr. 9 70806 Kornwestheim Deutschland 
ADAMOS,info@adamos.com,(+49 6151) 629030,https://de.adamos.com/,Landwehrstr. 55 64293 Darmstadt Deutschland 
@-yet,info@add-yet.de,(+49 2175) 16 55-0,http://www.add-yet.de,Schloß Eicherhof 42799 Leichlingen Deutschland 
ADDI-DATA,info@addi-data.com,(+49 7229) 18 47-0,http://www.addi-data.com,Airport Boulevard B210 77836 Rheinmünster Deutschland 
ADE-Werk,info@ade.de,(+49 781) 2 09-0,http://www.ade.de,Englerstr. 9 77652 Offenburg Deutschland 
Adelmann Umwelt,info@adelmann.de,(+49 9353) 79 03-0,http://www.adelmann.de,Johann-Schöner-Str. 73 97753 Karlstadt Deutschland 
Ademco 1,marlous.dijckvan@resideo.com,(+49 6261) 81-0,http://www.homecomfort.resideo.com/de,Hardhofweg 40 74821 Mosbach Deutschland 
adesso,info@adesso.de,(+49 231) 70 00-70 00,http://www.adesso.de,Adessoplatz 1 44269 Dortmund Deutschland 
ADITO Software,info@adito.de,(+49 8743) 96 64-0,http://www.adito.de,Konrad-Zuse-Str. 4 84144 Geisenhausen Deutschland 
ADMOS Gleitlager,info@admos-gleitlager.de,(+49 30) 5 30 09-0,http://www.admos-gleitlager.de,Wilhelminenhofstr. 89 a 12459 Berlin Deutschland 
ads-tec,mailbox@ads-tec.de,(+49 7022) 25 22-0,http://www.ads-tec.de,Heinrich-Hertz-Str. 1 72622 Nürtingen Deutschland 
ADVES,info@adves.one,(+49 4441) 8 89 99-40,http://www.adves.one,Eschstr. 23 49424 Goldenstedt-Lutten Deutschland 
Aebi Maschinenfabrik,aebi@aebi-schmidt.com,(+41 34) 4 21 61-21,http://www.aebi-schmidt.com,Buchmattstr. 56 3401 Burgdorf Schweiz 
AEM,aem@aemdessau.de,(+49 340) 2 03-2 00,http://www.aemdessau.de,Daheimstr. 18 06842 Dessau-Roßlau Deutschland 
AERO-LIFT Vakuumtechnik,info@aero-lift.de,(+49 7428) 9 45 14-0,http://www.aero-lift.de,Turmstr. 1 72351 Geislingen Deutschland 
Aerzener Maschinenfabrik,info@aerzener.de,(+49 5154) 81-0,http://www.aerzen.com,Reherweg 28 31855 Aerzen Deutschland 
Afag,sales@afag.com,(+49 9621) 6 50 27-0,http://www.afag.com,Wernher-von-Braun-Str. 1 92224 Amberg Deutschland 
AFOTEK,info@afotek.de,(+49 6621) 50 76-0,http://www.afotek.de,Erfurter Str. 17 36251 Bad Hersfeld Deutschland 
